sequence,v115@vhHu6I8kB6oBznB2uBlqB3rBxxB,v115@vhHOEJzgB+pBKqBUnB/tBFrBRxB,v115@vhHT/IulBypBlmB3nBctB2wBxuB,v115@vhH8EJWmB6oBznB2uBlqB3rBxxB,v115@vhHz/IOoBKpBUmB/sB+tBFqBRwB,v115@vhH3/I6oBllBRnBTpB2vBmrBUtB,v115@vhHT/I8lBWnB+tBipBlrB3sBRvB,v115@vhHz/I8lBWnB+tBipBlrB3sBRvB,v115@vhHu7IzfB8lB+tBipBlrB3sBRvB,v115@vhHu7ITfB8lB+tBipBlrB3sBRvB,v115@vhHO+I+jBKpBUmB/sBFqBTtBRwB,v115@vhHT5IOoBKpBUmB/sB+tBFqBRwB,v115@vhHT1IOkB+pBKqBUnB/tBFrBRxB,v115@vhHO6I+fBKqBUnB/tBTpBFrBRxB,v115@vhHZ6IqfB8lB+tBTpB2vBlrB3sB,v115@vhH/6I2kB8lBStBTpB2vBlrBxxB,v115@vhHu9IejBKpBUmB/sBFqBTtBRwB,v115@vhHu6I8kBzmBftB6tB2uBlqBxwB,v115@vhHWAJ8mB3kBzlB+tByuBlsBRwB,v115@vhHeCJ8kBziBStB2uBlqB3rBxxB,v115@vhH2CJ8kBzmBftB6tB2uBlqBxwB,v115@vhHeGJ8mBziB3kB+tByuBlsBRwB,v115@vhH8EJzgBZnB+rBXoB2uBlqBSyB,v115@vhH++I8kBzmBftB6tB2uBlqBxwB,v115@vhH28IamBcpBTlBtrB+tB3sBRvB,v115@vhH26IZkB8mBtpBusB3qBywBTtB,v115@vhHS+IfmB5oBzkBdtB2uBWwBUsB,v115@vhH2CJ5oBOpBXlBlmBatBUrBTsB,v115@vhH/CJOoBxkBlmB+tBipBUrBTsB,v115@vhH/CJTjBxkBlmBipBUrB2xBGtB,v115@vhH++IzfB8lB+tBipBlrB3sBRvB,v115@vhH++I8kB6nBToB2uBlqB3rBxxB,v115@vhH++ITfB8lB+tBipBlrB3sBRvB,v115@vhHi1IZkBtkBUmBGnBToBXqB2xB,v115@vhHG5IdoB5oBikBuqB3mBzpB0sB,v115@vhH5+IajB8kB+sB2uBlqB3rBTtB,v115@vhHS+I8kBTjBWtB2uBlqB3rBxxB,v115@vhH26IOkBfoBzkBUrBFsBSyBxuB,v115@vhH+9I8kB6oBznB2uBlqB3rBxxB,v115@vhHC2IckBNlBXmBxnBWvBGsBTtB,v115@vhHX5I+jBmkBRmB9sB0pBCrBTtB,v115@vhHWFJfnBTjBKpBUqBFrBGtBRxB,v115@vhH8EJymBTjBWtB2uBlqB3rBxxB,v115@vhHOEJWmBfoBzkBUrBFsBSyBxuB,v115@vhH2AJ8mB3kBzlB+tByuBlsBRwB,v115@vhH/AJemB8mBaqB+tBTpBlsBRwB,v115@vhHX5I+jBxkByqBurB9sB0pBTtB,v115@vhH+DJzgBfnBKpBUqBFrBGtBRxB,v115@vhH+DJfmB0hBKpBFqBGsBTtBRwB,v115@vhH+DJGhBKpBUmB/sBFqBTtBRwB,v115@vhHZ6I8gB3kBlmBGoByuBzqBmsB,v115@vhH8AJ/pBaqBlmBGoBzqBmsBZkB,v115@vhHf8IZkBclBqpBlmBGoBzqBmsB,v115@vhHSDJZkBupB3lBFnBToB0rBWyB,v115@vhH5DJ2kBaoB3lBFnBTpB0rBWyB,v115@vhH2/I5oBOpBllBUnBatBzpBXrB,v115@vhH+DJ8kBXiBSsB2uBlqBTtBxwB,v115@vhHT/I/lB2mB+tBipB0rBlsBRvB,v115@vhHi/I8lBzkB3mB+tB2uBlsBRwB,v115@vhHm/I8lBTkB3mB+tByuBlsBRwB,v115@vhHfHJGjBKpBUmBusBFqBTtBRwB,v115@vhHfHJziB+oBKpBUmBFqBWyBRwB,v115@vhH5+I8gBikBlmB3nBWvBmqBTtB,v115@vhH8AJ/pBaqBlmBGoBzqBmsB5oB,v115@vhH01IKfBNqBRmBGoBTpBXrBmsB,v115@vhH/BJOpBllByrBusBctBzpBRwB,v115@vhH/BJ0kBllByrBGoB2uBzsBRwB,v115@vhHcBJ/pBaqBWrBFnBToBWyBRwB,v115@vhHcBJTkBeqBWrBFnBXoBSyBRwB,v115@vhHZ/IygB+pBOqBlmB3nBctBzqB,v115@vhHWCJ5jB/pBUlBFmBTnBKtBWxB,v115@vhHWCJ/pBUlBFmBxnBzrBCtB+tB,v115@vhHy/IZjBOpBllB3mBcsB+tBzpB,v115@vhH8/IejBZkBllB3mB+tBzpBisB,v115@vhH5/IWjBKpB/qBUmBFnBToBWyB,v115@vhHfDJ5oBikBUmBFnBGqBzsB+pB,v115@vhHT8I8kBWmBStB2uBlqB3rBxxB,v115@vhH6BJmgBcpBTlB+tBlrB3sBRvB,v115@vhHOBJfnB0iB2pBFrBSxBTtBxuB,v115@vhHOBJzhBfoB2pBUrBFsBSyBxuB,v115@vhHOBJzhB+nBKpB/tBUqBFrBRxB,v115@vhH8/IZkBfoBmlBzpBWwBFsBSyB,v115@vhHfDJ8kB5oB+rBTnB2uBlqByxB,v115@vhHWDJ8kBzmBftB6tB2uBlqBxwB,v115@vhHaCJ+mBziBcpB+tBXqBlsBRwB,v115@vhHz7I3fB0lBlmBGoBipBmsBRvB,v115@vhHG5IdoB5oBKpBzkBuqB3mB0sB,v115@vhH2/IfmBKpBzmBUoBFqBWyBRwB,v115@vhHeAJ8lBXjBStBTpB2vBlrBxxB,v115@vhH+/I8lBXjBStBTpB2vBlrBxxB,v115@vhH8CJfmBenBKpBToBFqBWyBRwB,v115@vhHfAJ5lB8mBTkB+tByuB2wBlsB,v115@vhHfAJqlB8mBOpB+tBzpBlsBRwB,v115@vhHKBJckBXlBesBusBFrBTtBxuB,v115@vhH+BJ/oBzkBqqB0nB2uBlrBxxB,v115@vhH+BJynBcpBTlB+tBlrB3sBRvB,v115@vhHSBJ8kBGnBToB2uBlqB3rBxxB,v115@vhH2BJfoBOpB8pBzlBFsBSyBxvB,v115@vhHeAJfjB5oB2pBUmBFnBSvBzsB,v115@vhHZAJfjB+oBTkBUmBFnBSvBWyB,v115@vhHfDJ5oBikBUmBFnBGqBzsBeqB,v115@vhHy/I5iB0kBllB3mBToB2uB2xB,v115@vhHfDJKlB+oBTkBUmBFnBWyBRvB,v115@vhHy/I+nB0kBllB3mBToB2uBRxB,v115@vhH8/IZkBllB3mBGoBzpBmsBSxB,v115@vhHU4IfiBikBFmBGoBzpBWwBRsB,v115@vhHKDJ8kBzgBWtB2uBlqB3rBxxB,v115@vhHeDJ8kBzgBStB2uBlqB3rBxxB,v115@vhHeDJKlBzgBcpB+tBlrB3sBRvB,v115@vhHKDJXgB8lBWtBTpB2vBlrBxxB,v115@vhHeDJXgB8lBStBTpB2vBlrBxxB,v115@vhH+/IGiBKqBUnB/tBTpBFrBRxB,v115@vhH+/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHSAJenB/pBUlBFmBznB+tBxvB,v115@vhH2CJqlBmkBlmB3nBctBTpBxwB,v115@vhHq/I8lBRnB+tBTpB2vBlrB3sB,v115@vhHeDJzgBfnBKpBUqBFrBGtBRxB,v115@vhHeDJfmB0hBKpBFqBGsBTtBRwB,v115@vhHeDJGhBKpBUmB/sBFqBTtBRwB,v115@vhH5/IylBzhB+tB2uB0qBlrB3sB,v115@vhHfDJckBelBzlBFnBStBWxBRvB,v115@vhH8/ISnB/oB2pBllBmrBzsBxvB,v115@vhH8/IziB2pBllB3mBStB2xBxvB,v115@vhH8/I3iB2pBllBWsBToByvBRxB,v115@vhH8/I2pBllB3mBGoBisBzsBxvB,v115@vhHy/IzhBWoB0kBllB2uBxrBXtB
comments,J-001,J-002,J-003,J-004,J-005,J-006,J-007,J-008,J-009,J-010,J-011,J-011,J-012,J-012,J-013,J-013,J-014,J-015,J-016,J-017,J-017,J-018,J-019,J-020,J-021,J-022,J-023,J-024,J-024,J-024,J-025,J-026,J-027,J-028,J-029,J-030,J-030,J-031,J-032,J-033,J-034,J-035,J-036,J-037,J-038,J-038,J-039,J-040,J-040,J-040,J-041,J-041,J-042,J-043,J-043,J-044,J-045,J-046,J-046,J-046,J-047,J-047,J-048,J-048,J-049,J-050,J-050,J-051,J-051,J-052,J-053,J-053,J-054,J-054,J-055,J-055,J-056,J-056,J-057,J-057,J-057,J-058,J-059,J-059,J-060,J-061,J-062,J-063,J-064,J-065,J-066,J-067,J-067,J-068,J-069,J-069,J-070,J-071,J-072,J-072,J-072,J-073,J-074,J-075,J-075,J-076,J-077,J-077,J-077,J-077,J-077,J-078,J-078,J-079,J-080,J-081,J-082,J-082,J-082,J-083,J-084,J-085,J-085,J-085,J-085,J-086
score,4983.39,4974.09,4974.09,4965.87,4964.52,4964.52,4952.46,4947.38,4931.09,4931.09,4845.34,4845.34,4845.34,4845.34,4809.33,4809.33,4808.63,4808.13,4780.24,4771.69,4771.69,4734.35,4728.91,4661.03,4654.6,4638.89,4638.89,4602.1,4602.1,4602.1,4563.81,4522.16,4520.12,4501.65,4501.65,4491.05,4491.05,4491.05,4469.33,4456.57,4447.34,4438.79,4432.48,4432.48,4423.61,4423.61,4421.51,4380.75,4380.75,4380.75,4369.56,4369.56,4366.35,4361.17,4361.17,4361.17,4348.97,4343.47,4343.47,4343.47,4343.47,4343.47,4337.44,4337.44,4326.83,4292.24,4292.24,4292.24,4292.24,4272.24,4272.24,4272.24,4264.07,4264.07,4264.07,4264.07,4238.31,4238.31,4238.31,4238.31,4238.31,4235.95,4235.95,4235.95,4230.04,4230.04,4229.17,4218.31,4207.46,4204.37,4204.37,4204.37,4204.37,4202.52,4202.52,4202.52,4197.44,4197.44,4194.52,4194.52,4194.52,4194.52,4187.52,4187.52,4187.52,4161.03,4158.79,4158.79,4158.79,4158.79,4158.79,4158.79,4158.79,4154.76,4154.76,4151.59,4150,4150,4150,4150,4140.48,4140.48,4140.48,4140.48,4140.48,4111.19
TILJSZO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILJZSO,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TILJZOS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X
TILSJZO,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TILSZJO,X,O,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
