sequence,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjBylB+?mBTiBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaBJvhFRdBcjBTgBG?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFuiBcjBTgBi?hB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFRdBcjB6mBT?iBmlBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBO?mBCnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhF3dBcjBTgBK?mBWnBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC8IvhFTeB2lBxhB0?iB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFCeBTgBOmB8?mBXjBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR9IvhFcjBigBGiBz?gB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeaCJvhFuiBcjBxgB3?gBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBTgBKmBf?nBliB8sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez8IvhFWjBigBXjBR?mBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFWjBigBzhBX?jBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFaiBuiBcjBx?lBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeR8IvhFGeBigBfnBU?mBznBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBGeBynBF?mBRsB/sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Jez7IvhFRdBcjB2lBS?nB3mBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je37IvhFTeBxlBmnBc?mBVsB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFmcBCeBXjBR?mBTmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JeC+IvhF2lBRhBXjBz?hBUmBlsB,v115@zgC8GeB8HeB8GeE8EeH8AeB8JecAJvhFTcBxdBOoBF?mBXnB6sB,v115@zgC8GeB8HeB8GeE8EeH8AeB8Je1AJvhFzcBSjB3iBx?lB8sB2wB
TILJSZO,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TILJZOS,O,X,X,X,O,O,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O
TILSJZO,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TILZJSO,O,X,X,O,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TILZJOS,O,X,X,X,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,O
TILZSJO,O,X,X,O,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TILZSOJ,O,X,X,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O
TILZOJS,X,X,X,O,O,O,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,O
TILZOSJ,O,X,X,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O
TILOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
TILOSJZ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TILOZJS,X,X,X,O,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O
