sequence,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH39IcjBOpByrBtsB+tBzpBRwB,v115@vhH//IUbBKpBdqBWrBToBWyBRwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH/BJcjBOpByrBtsB+tBzpBRwB,v115@vhH//IchBKpBdqBWrBToBWyBRwB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhH6+IZjBXiB9sB+tBTpB2vB0rB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhHK6IcjB/lBOpBtsB+tBzpBRwB,v115@vhH++I/fBcnBKpBdqBToBWyBRwB,v115@vhHO6I3dBcjBTkBtsB+tByuBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhHX5IcjBOpByrBtsB+tBzpBRwB,v115@vhH01I/fBKpBdqBWrBToBWyBRwB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT1IcjB/kBalBtsB+tB2uBRwB,v115@vhHT5I/fBGjBKpBdqBUoBWyBRwB,v115@vhHO6IfgBcjBTkBtsB+tByuBRwB,v115@vhHO6IXZBcjBTkBtsB+tByuBRwB,v115@vhHi1I+eBcfBdlB+tBTpB3qBRsB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhHK6IXZBcjBOpBtsB+tBzpBRwB,v115@vhH01I+eB/fBKpBdqBToBWyBRwB,v115@vhH+7IXhBKoB9rBTnB2uB0qBxxB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhHK6I3dBcjBOpBtsB+tBzpBRwB,v115@vhH++I/fBUbBKpBdqBToBWyBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHT1I3dBcjBifBtsB+tB2uBRwB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHT1IXZBcjBifBtsB+tB2uBRwB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHK6IOpBTlBNrBUnB/tBWvBRxB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhHT1I/kBalBtqB0mB+tB2uBxwB,v115@vhHq6IUhB+oBzkBtqB2uB3rBxxB,v115@vhHe+IZkB3hBdsBznBWvBUrBSyB,v115@vhH01ITZB/fB+oBKpBdqBWyBRwB,v115@vhHO/IUhB5oBzkBtqB2uB3rByxB,v115@vhH38I0fBtlB2pBasBTrBGtBxuB,v115@vhHU8IymBTjBtqBWtB2uB3rBxxB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHi1IcfBdlB5oB+rBTpB3qBmsB,v115@vhHG5I/jBZkBtnBKrBGqBUsBTtB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhHX5IcjBifBzkBtsB+tB2uBRwB,v115@vhH01I/fBziB+oBKpBdqBWyBRwB,v115@vhHX5IcjBmfBTkBtsB+tByuBRwB,v115@vhH37IWlBTjBKpBdrBUqBGtBRxB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhHX5IKfBcjBOqBtsB+tBTpBRwB,v115@vhHu6IzkBtqB0mBftB6tB2uBxwB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHT1IdgB/kBRmB+sB6tB2uB0qB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHq7IcjB/lBOpBtsB+tBzpBRwB,v115@vhHe9I/fBcnBKpBdqBToBWyBRwB,v115@vhHeAJaoBcqB3mB9sB+tBTpBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHq7IcjB/kBTlBtsB+tB2uBRwB,v115@vhHi3IzcBUhB+oBtqB2uB3rBxxB,v115@vhHT3IedBUhB5oBtqB2uB3rByxB,v115@vhHG3IzbBZkB3hBdsBWvBUrBSyB,v115@vhH01I/fB+jBKpBdqBGsBTtBRwB,v115@vhH+DJanBcpB3lB9rB+sBTtBRvB,v115@vhHi1IcfBGeBdlB+tBTpB3qBRsB,v115@vhHKDJThBmkBtqB0nB2uB3rBxxB,v115@vhHKDJThBmkBtqBXnB2uBUtBxwB,v115@vhH+/IaoBcqB3mB9sB+tBTpBRwB,v115@vhHK/IOoBcqB3mB9sB+tBTpBRwB,v115@vhH/DJZkBCgBtnB2qBWvBUsBTtB,v115@vhHe+IOpB8pBXmBdsBznBSyBxvB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHK6IXZBcjBTkBtsB+tB2wBxuB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjBZkBzkBtsB+tBSvB2wB,v115@vhHX5IcjB2kBtsB+tBTpBiqBRwB,v115@vhHT5I2mB8nB5oBtqB2uB3rByxB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHT2I/kBalBtqB0mB+tB2uBxwB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHX5IcjBTfBypBtsB+tB2wBxuB,v115@vhHG+I/kBNnBUjB2uBxqBSxBTtB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhHx3I3cBdnBcqBerBStBTpBWxB,v115@vhH/6I2kB8lB5oB9rBTpB2vByxB,v115@vhH++I8fBZkB9lB+tBzpBXrBisB,v115@vhHi3IUhB+oBzkBtqB2uB3rBxxB,v115@vhHG3IZkB3hBdsBznBWvBUrBSyB
comments,J-s-01,J-s-01,J-s-01M,J-s-02,J-s-02,J-s-02M,J-s-03,J-s-03,J-s-04,J-s-04,J-s-04M,J-s-05,J-s-06,J-s-06,J-s-06M,J-s-07,J-s-07,J-s-07M,J-s-07,J-s-08,J-s-09,J-s-10,J-s-10,J-s-10M,J-s-11,J-s-12,J-s-12,J-s-12M,J-s-13,J-s-13,J-s-14,J-s-14,J-s-15,J-s-15,J-s-16,J-s-16,J-s-17,J-s-17M,J-s-18,J-s-19,J-s-20,J-s-21,J-s-22,J-s-22,J-s-23,J-s-24,J-s-24,J-s-24M,J-s-24,J-s-25,J-s-26,J-s-26,J-s-27,J-s-28,J-s-28,J-s-29,J-s-29,J-s-29M,J-s-30,J-s-31,J-s-31,J-s-32,J-s-32,J-s-32M,J-s-33,J-s-34,J-s-35,J-s-36,J-s-36,J-s-37,J-s-38,J-s-39,J-s-40,J-s-41,J-s-41,J-s-42,J-s-42,J-s-42,J-s-43,J-s-44,J-s-44,J-s-45,J-s-45,J-s-46,J-s-47,J-s-47,J-s-48,J-s-49,J-s-50,J-s-50M
score,5671.666666666667,5671.666666666667,5671.666666666667,5531.507936507936,5531.507936507936,5531.507936507936,5511.289682539683,5511.289682539683,5508.9484126984125,5508.9484126984125,5508.9484126984125,5457.142857142857,5402.619047619048,5402.619047619048,5402.619047619048,5374.861111111111,5374.861111111111,5374.861111111111,5374.861111111111,5357.480158730159,5342.023809523809,5329.940476190476,5329.940476190476,5329.940476190476,5325.119047619048,5306.111111111111,5306.111111111111,5306.111111111111,5305.376984126984,5305.376984126984,5290.416666666667,5290.416666666667,5283.234126984127,5283.234126984127,5239.563492063492,5239.563492063492,5195.376984126984,5195.376984126984,5190.257936507936,5182.896825396825,5163.710317460317,5163.710317460317,5157.678571428572,5157.678571428572,5150.6349206349205,5148.611111111111,5148.611111111111,5148.611111111111,5148.611111111111,5138.948412698413,5131.646825396825,5131.646825396825,5107.083333333333,5105,5105,5097.678571428572,5097.678571428572,5097.678571428572,5089.880952380952,5088.075396825397,5088.075396825397,5087.559523809524,5087.559523809524,5087.559523809524,5055.099206349207,5053.214285714285,5050.5952380952385,5048.9682539682535,5048.9682539682535,5048.9682539682535,5046.507936507936,5045.396825396825,5033.174603174603,5031.9047619047615,5031.9047619047615,5030.416666666667,5030.416666666667,5030.416666666667,5028.234126984127,5026.111111111111,5026.111111111111,5025.376984126984,5025.376984126984,5015.436507936508,5015.337301587301,5015.337301587301,5002.936507936508,4989.146825396825,4986.726190476191,4986.726190476191
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TILSJZO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILSZJO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
